Warehouse,Product,Stock Level,Reorder Level,Supplier,Last Updated,Transport Cost
WH-C,Mouse,,245,Supplier-A,2024-09-15,1500
WH-C,Hard Disk,400.0,260,Supplier-A,2026-01-15,1950
WH-B,Router,142.0,168,Supplier-Z,2026-01-27,1650
WH-E,Keyboard,373.0,77,Supplier-X,2026-01-02,1550
WH-A,Mouse,,111,Supplier-Z,2025-12-30,850
WH-D,Tablet,,194,Supplier-X,2025-07-31,2270
WH-A,Router,223.0,285,Supplier-X,2026-06-22,1200
WH-A,Laptop,490.0,210,Supplier-X,2025-09-05,1900
WH-A,Monitor,358.0,198,Supplier-C,2025-03-07,2350
WH-B,Mouse,347.0,156,Supplier-Y,2026-05-14,1000
WH-A,SSD,,155,Supplier-A,2024-12-21,6650
WH-D,Tablet,151.0,121,Supplier-B,2026-04-14,2320
WH-D,Mobile,,127,Supplier-Y,2025-02-10,2070
WH-E,Laptop,,267,Supplier-C,2025-01-13,2800
WH-B,Keyboard,457.0,239,Supplier-Y,2026-06-20,1150
WH-A,Hard Disk,368.0,170,Supplier-Z,2025-03-05,1300
WH-B,Printer,430.0,242,Supplier-C,2025-10-15,3020
WH-D,Tablet,420.0,106,Supplier-B,2024-10-06,2320
WH-D,Printer,510.0,189,Supplier-Z,2026-02-24,3490
WH-D,Hard Disk,480.0,204,Supplier-X,2024-11-28,1770
WH-E,SSD,,89,Supplier-A,2025-03-18,7400
WH-E,Monitor,181.0,157,Supplier-A,2025-01-07,3200
WH-D,Hard Disk,89.0,173,Supplier-X,2026-02-18,1770
WH-C,Keyboard,325.0,217,Supplier-Z,2025-12-01,1600
WH-A,Laptop,581.0,105,Supplier-Z,2024-12-28,2100
WH-C,Monitor,433.0,292,Supplier-Y,2025-12-12,2900
WH-B,Mouse,135.0,271,Supplier-X,2026-04-11,900
WH-E,SSD,71.0,241,Supplier-X,2025-03-22,7150
WH-E,SSD,193.0,228,Supplier-B,2024-12-11,7200
WH-A,Monitor,594.0,179,Supplier-Y,2024-07-23,2300
WH-B,Laptop,571.0,139,Supplier-B,2025-05-29,2200
WH-C,Hard Disk,192.0,73,Supplier-B,2025-03-24,1750
WH-E,Keyboard,545.0,292,Supplier-Z,2024-07-19,1750
WH-B,Keyboard,315.0,120,Supplier-X,2025-07-18,1050
WH-D,Hard Disk,95.0,82,Supplier-X,2025-11-23,1770
WH-A,Laptop,521.0,214,Supplier-B,2025-01-12,1950
WH-A,Keyboard,586.0,175,Supplier-A,2024-09-19,1050
WH-D,Printer,92.0,111,Supplier-X,2025-06-02,3290
WH-E,Monitor,402.0,129,Supplier-C,2025-06-17,3100
WH-E,Tablet,582.0,218,Supplier-Y,2025-05-25,2450
WH-C,Hard Disk,352.0,199,Supplier-C,2026-02-28,1850
WH-B,Mouse,,88,Supplier-X,2025-01-22,900
WH-D,Hard Disk,280.0,109,Supplier-Y,2026-01-14,1870
WH-B,SSD,305.0,151,Supplier-Z,2024-09-17,6850
WH-B,SSD,304.0,106,Supplier-A,2026-01-30,6900
WH-E,Keyboard,513.0,115,Supplier-Y,2025-06-06,1650
WH-A,Mobile,371.0,86,Supplier-C,2026-07-03,1450
WH-A,Printer,340.0,156,Supplier-A,2025-12-26,2870
WH-E,SSD,263.0,78,Supplier-A,2024-08-25,7400
WH-A,Mobile,492.0,159,Supplier-C,2024-11-13,1450
WH-A,Keyboard,454.0,222,Supplier-A,2024-11-03,1050
WH-C,Laptop,202.0,274,Supplier-X,2024-11-30,2500
WH-E,Tablet,408.0,157,Supplier-Y,2025-02-13,2450
WH-E,Mobile,390.0,221,Supplier-C,2026-06-02,2200
WH-C,Hard Disk,327.0,219,Supplier-Z,2024-12-28,1900
WH-E,Tablet,349.0,122,Supplier-B,2024-08-04,2400
WH-E,Monitor,317.0,103,Supplier-Y,2026-04-25,3050
WH-E,Laptop,30.0,213,Supplier-Y,2025-05-22,2750
WH-D,Monitor,80.0,132,Supplier-Z,2026-06-23,3070
WH-C,Mobile,,158,Supplier-C,2025-09-20,2050
WH-D,Router,208.0,254,Supplier-Y,2026-05-26,1970
WH-D,Hard Disk,63.0,245,Supplier-X,2026-04-27,1770
WH-A,Monitor,390.0,198,Supplier-A,2026-01-25,2450
WH-B,Mouse,387.0,73,Supplier-X,2025-01-10,900
WH-A,Printer,86.0,200,Supplier-B,2025-12-02,2670
WH-E,SSD,,53,Supplier-A,2025-01-26,7400
WH-D,SSD,506.0,279,Supplier-A,2025-04-17,7320
WH-A,SSD,218.0,79,Supplier-C,2024-11-09,6550
WH-D,Printer,167.0,168,Supplier-A,2025-08-24,3540
WH-A,Keyboard,502.0,105,Supplier-X,2025-02-02,800
WH-B,SSD,314.0,110,Supplier-A,2026-01-12,6900
WH-A,Hard Disk,409.0,93,Supplier-A,2026-06-23,1350
WH-C,Printer,,96,Supplier-Z,2026-05-12,3420
WH-B,Monitor,132.0,196,Supplier-X,2026-02-09,2450
WH-D,Printer,268.0,235,Supplier-X,2026-05-19,3290
WH-C,Mobile,404.0,56,Supplier-B,2025-11-13,1950
WH-A,Mobile,592.0,122,Supplier-B,2026-06-06,1350
WH-C,Keyboard,106.0,133,Supplier-C,2026-05-16,1550
WH-E,Mobile,221.0,97,Supplier-B,2024-11-01,2100
WH-E,Monitor,,67,Supplier-C,2024-09-21,3100
WH-D,Keyboard,129.0,148,Supplier-Y,2025-08-25,1570
WH-D,Laptop,29.0,188,Supplier-Y,2025-01-03,2670
WH-E,Monitor,,160,Supplier-Z,2025-11-29,3150
WH-A,SSD,540.0,264,Supplier-A,2024-10-26,6650
WH-B,Router,285.0,183,Supplier-Z,2024-12-14,1650
WH-E,Laptop,595.0,258,Supplier-Z,2024-12-02,2850
WH-E,Laptop,357.0,294,Supplier-B,2024-07-19,2700
WH-A,Mouse,177.0,83,Supplier-B,2025-01-12,700
WH-D,Keyboard,66.0,154,Supplier-C,2025-01-24,1620
WH-B,Mouse,450.0,240,Supplier-Y,2026-06-03,1000
WH-B,Mouse,267.0,193,Supplier-B,2024-10-20,950
WH-D,Monitor,35.0,127,Supplier-Z,2024-08-03,3070
WH-E,Hard Disk,64.0,165,Supplier-X,2025-04-20,1850
WH-B,Hard Disk,597.0,166,Supplier-B,2025-05-06,1400
WH-C,Monitor,149.0,238,Supplier-Y,2025-10-30,2900
WH-C,Tablet,228.0,226,Supplier-X,2025-09-24,2200
WH-C,Mobile,578.0,101,Supplier-B,2025-02-23,1950
WH-E,Hard Disk,26.0,218,Supplier-A,2025-01-05,2100
WH-B,Mouse,183.0,234,Supplier-B,2025-02-05,950
WH-E,SSD,426.0,258,Supplier-Z,2025-12-07,7350
WH-E,Hard Disk,311.0,216,Supplier-C,2025-03-22,2000
WH-B,Mouse,422.0,95,Supplier-X,2026-04-27,900
WH-D,SSD,100.0,299,Supplier-X,2024-10-20,7070
WH-D,Mobile,432.0,226,Supplier-A,2025-09-13,2220
WH-C,Laptop,109.0,117,Supplier-A,2024-08-12,2750
WH-E,Router,410.0,298,Supplier-X,2026-05-04,1950
WH-D,Printer,409.0,224,Supplier-Y,2024-08-29,3390
WH-D,Keyboard,23.0,55,Supplier-C,2024-08-17,1620
WH-A,Tablet,439.0,85,Supplier-A,2025-12-08,1850
WH-C,SSD,572.0,84,Supplier-A,2026-06-08,7250
WH-B,Mobile,550.0,238,Supplier-X,2025-11-27,1550
WH-E,Laptop,416.0,289,Supplier-Z,2024-10-10,2850
WH-C,Laptop,223.0,81,Supplier-A,2025-05-02,2750
WH-B,Tablet,188.0,185,Supplier-X,2024-10-27,1850
WH-A,Monitor,173.0,170,Supplier-X,2025-09-11,2200
WH-D,Tablet,197.0,212,Supplier-A,2024-12-09,2520
WH-E,SSD,337.0,89,Supplier-B,2026-06-28,7200
WH-C,Mobile,303.0,66,Supplier-A,2024-08-27,2150
WH-A,Monitor,242.0,235,Supplier-B,2025-10-08,2250
WH-C,Keyboard,497.0,181,Supplier-Z,2025-11-26,1600
WH-E,Keyboard,82.0,214,Supplier-A,2026-02-16,1800
WH-E,Laptop,,70,Supplier-X,2026-05-04,2650
WH-E,Monitor,349.0,145,Supplier-C,2024-10-10,3100
WH-A,Keyboard,,79,Supplier-A,2025-07-27,1050
WH-C,Printer,214.0,180,Supplier-B,2024-08-27,3270
WH-B,Monitor,,219,Supplier-Z,2025-11-15,2650
WH-B,Printer,346.0,145,Supplier-X,2026-01-04,2870
WH-D,Tablet,558.0,101,Supplier-A,2025-12-30,2520
WH-C,Keyboard,128.0,183,Supplier-B,2025-01-02,1450
WH-E,Printer,448.0,179,Supplier-B,2024-07-10,3420
WH-D,SSD,87.0,206,Supplier-Y,2024-08-15,7170
WH-D,Mouse,,77,Supplier-Z,2025-07-31,1520
WH-D,Keyboard,417.0,282,Supplier-Z,2025-10-31,1670
WH-C,Hard Disk,372.0,171,Supplier-Z,2025-05-11,1900
WH-B,Keyboard,301.0,256,Supplier-B,2025-12-06,1100
WH-E,Mouse,539.0,294,Supplier-X,2024-08-28,1400
WH-B,Monitor,488.0,154,Supplier-Z,2025-05-17,2650
WH-B,SSD,387.0,147,Supplier-X,2024-09-25,6650
WH-A,Laptop,162.0,120,Supplier-C,2025-11-12,2050
WH-B,Router,158.0,172,Supplier-C,2025-07-16,1600
WH-E,Mouse,309.0,215,Supplier-B,2025-06-03,1450
WH-A,Keyboard,155.0,82,Supplier-C,2024-08-07,950
WH-D,Printer,,77,Supplier-Y,2025-02-10,3390
WH-D,Hard Disk,29.0,271,Supplier-X,2025-11-08,1770
WH-A,Keyboard,418.0,194,Supplier-Y,2024-07-11,900
WH-E,Router,358.0,99,Supplier-Z,2025-12-27,2150
WH-D,Monitor,215.0,191,Supplier-A,2026-05-03,3120
WH-E,SSD,294.0,169,Supplier-A,2026-02-20,7400
WH-B,Mobile,268.0,239,Supplier-B,2025-04-24,1600
WH-A,SSD,,257,Supplier-A,2026-02-04,6650
WH-D,Router,,198,Supplier-Z,2025-11-10,2070
WH-C,Tablet,94.0,179,Supplier-A,2025-12-26,2450
WH-B,Laptop,94.0,112,Supplier-X,2025-04-25,2150
WH-A,Mobile,344.0,137,Supplier-Y,2025-05-14,1400
WH-E,Hard Disk,470.0,272,Supplier-Z,2024-08-22,2050
WH-A,Mobile,493.0,202,Supplier-B,2025-08-26,1350
WH-B,SSD,,99,Supplier-Z,2024-08-21,6850
WH-C,Monitor,382.0,113,Supplier-C,2025-02-16,2950
WH-B,Tablet,189.0,247,Supplier-C,2024-12-25,2000
WH-D,SSD,522.0,226,Supplier-Y,2026-03-21,7170
WH-B,Printer,481.0,292,Supplier-X,2024-07-09,2870
WH-E,Laptop,313.0,289,Supplier-X,2025-09-30,2650
WH-B,Router,,164,Supplier-Z,2025-01-08,1650
WH-B,Tablet,274.0,292,Supplier-B,2025-07-26,1900
WH-B,Hard Disk,85.0,61,Supplier-X,2024-08-11,1350
WH-C,SSD,104.0,158,Supplier-A,2026-06-02,7250
WH-C,Keyboard,343.0,80,Supplier-Y,2024-08-24,1500
WH-B,Monitor,510.0,80,Supplier-C,2025-10-28,2600
WH-C,Mouse,546.0,298,Supplier-X,2025-04-11,1250
WH-E,SSD,39.0,203,Supplier-X,2025-11-20,7150
WH-E,SSD,369.0,217,Supplier-Y,2025-03-21,7250
WH-D,Keyboard,496.0,52,Supplier-C,2024-09-30,1620
WH-C,Monitor,232.0,247,Supplier-Z,2024-12-17,3000
WH-E,Tablet,599.0,90,Supplier-A,2026-02-01,2600
WH-B,Keyboard,115.0,53,Supplier-B,2024-09-12,1100
WH-C,SSD,27.0,151,Supplier-B,2025-04-12,7050
WH-C,Tablet,125.0,272,Supplier-C,2026-01-12,2350
WH-E,SSD,91.0,275,Supplier-C,2024-09-27,7300
WH-C,Hard Disk,,256,Supplier-Z,2024-12-24,1900
WH-B,Mouse,60.0,154,Supplier-C,2025-02-25,1050
WH-E,Mouse,100.0,243,Supplier-A,2025-06-24,1650
WH-D,Laptop,491.0,106,Supplier-A,2026-05-22,2820
WH-C,Monitor,370.0,73,Supplier-Z,2025-07-09,3000
WH-A,Mouse,136.0,284,Supplier-A,2024-09-24,900
WH-D,Mobile,153.0,239,Supplier-C,2025-07-18,2120
WH-A,SSD,251.0,205,Supplier-A,2025-05-07,6650
WH-C,SSD,447.0,199,Supplier-A,2025-06-22,7250
WH-B,Printer,367.0,277,Supplier-A,2026-06-17,3120
WH-A,Mouse,230.0,82,Supplier-Y,2025-02-20,750
WH-E,Keyboard,295.0,190,Supplier-Y,2025-09-01,1650
WH-E,Monitor,422.0,146,Supplier-Z,2026-01-01,3150
WH-D,Laptop,269.0,125,Supplier-X,2025-03-06,2570
WH-A,SSD,529.0,98,Supplier-A,2025-11-22,6650
WH-C,Laptop,593.0,266,Supplier-Y,2024-09-14,2600
WH-D,Mouse,519.0,233,Supplier-C,2025-07-02,1470
WH-A,Laptop,131.0,236,Supplier-A,2024-11-05,2150
WH-C,Mouse,146.0,179,Supplier-A,2026-03-22,1500
WH-E,SSD,597.0,282,Supplier-X,2025-11-09,7150
WH-B,Mouse,295.0,241,Supplier-Y,2025-12-15,1000
WH-D,Mouse,596.0,52,Supplier-X,2025-03-28,1320
WH-B,Router,34.0,115,Supplier-C,2026-01-22,1600
WH-D,Tablet,250.0,171,Supplier-B,2025-05-13,2320
WH-B,Mobile,183.0,228,Supplier-Y,2025-12-10,1650
WH-B,Router,82.0,169,Supplier-X,2024-07-19,1450
WH-E,Keyboard,465.0,137,Supplier-C,2024-07-24,1700
WH-B,Mobile,216.0,184,Supplier-X,2024-10-13,1550
WH-C,SSD,579.0,244,Supplier-X,2026-06-09,7000
WH-E,Tablet,342.0,123,Supplier-A,2025-12-19,2600
WH-A,Router,144.0,255,Supplier-X,2025-05-19,1200
WH-B,Monitor,,264,Supplier-Y,2025-08-11,2550
WH-C,Router,254.0,196,Supplier-Y,2026-06-01,1900
WH-B,Router,347.0,257,Supplier-X,2025-05-19,1450
WH-A,SSD,89.0,267,Supplier-X,2024-09-14,6400
WH-E,Laptop,569.0,229,Supplier-Z,2025-12-04,2850
WH-D,Router,137.0,67,Supplier-Z,2024-10-16,2070
WH-E,Mouse,198.0,270,Supplier-A,2025-08-26,1650
WH-A,Hard Disk,488.0,247,Supplier-X,2026-03-22,1100
WH-A,Monitor,100.0,200,Supplier-A,2025-07-08,2450
WH-E,SSD,,210,Supplier-X,2024-11-17,7150
WH-E,Printer,46.0,131,Supplier-C,2025-03-17,3520
WH-B,Tablet,122.0,200,Supplier-B,2025-10-17,1900
WH-B,Printer,184.0,267,Supplier-C,2025-12-04,3020
WH-B,SSD,593.0,191,Supplier-Y,2024-10-01,6750
WH-A,Keyboard,60.0,222,Supplier-A,2025-09-26,1050
WH-B,SSD,458.0,117,Supplier-B,2024-07-27,6700
WH-B,Keyboard,284.0,170,Supplier-X,2024-10-08,1050
WH-A,Hard Disk,95.0,254,Supplier-Z,2025-08-25,1300
