assessment_id,course_id,max_score
ASS-0074,CORS-0054,100
ASS-0075,CORS-0187,100
ASS-0076,CORS-0070,100
ASS-0077,CORS-0090,100
ASS-0078,CORS-0038,100
ASS-0079,CORS-0052,100
ASS-0080,CORS-0130,100
ASS-0081,CORS-0039,100
ASS-0082,CORS-0028,100
ASS-0083,CORS-0047,100
ASS-0084,CORS-0196,100
ASS-0085,CORS-0200,100
ASS-0086,CORS-0150,100
ASS-0087,CORS-0077,100
ASS-0088,CORS-0041,100
ASS-0089,CORS-0073,100
ASS-0090,CORS-0036,100
ASS-0091,CORS-0061,100
ASS-0092,CORS-0148,100
ASS-0093,CORS-0052,100
ASS-0094,CORS-0200,100
ASS-0095,CORS-0129,100
ASS-0096,CORS-0099,100
ASS-0097,CORS-0188,100
ASS-0098,CORS-0106,100
ASS-0099,CORS-0068,100
ASS-0100,CORS-0158,100
ASS-0101,CORS-0177,100
ASS-0102,CORS-0018,100
ASS-0103,CORS-0089,100
ASS-0104,CORS-0106,100
ASS-0105,CORS-0134,100
ASS-0106,CORS-0007,100
ASS-0107,CORS-0045,100
ASS-0108,CORS-0189,100
ASS-0109,CORS-0082,100
ASS-0110,CORS-0111,100
ASS-0111,CORS-0100,100
ASS-0112,CORS-0087,100
ASS-0113,CORS-0131,100
ASS-0114,CORS-0061,100
ASS-0115,CORS-0022,100
ASS-0116,CORS-0107,100
ASS-0117,CORS-0024,100
ASS-0118,CORS-0193,100
ASS-0119,CORS-0172,100
ASS-0120,CORS-0198,100
ASS-0121,CORS-0106,100
ASS-0122,CORS-0148,100
ASS-0123,CORS-0025,100
ASS-0124,CORS-0166,100
ASS-0125,CORS-0009,100
ASS-0126,CORS-0068,100
ASS-0127,CORS-0152,100
ASS-0128,CORS-0105,100
ASS-0129,CORS-0084,100
ASS-0130,CORS-0064,100
ASS-0131,CORS-0004,100
ASS-0132,CORS-0190,100
ASS-0133,CORS-0192,100
ASS-0134,CORS-0150,100
ASS-0135,CORS-0122,100
ASS-0136,CORS-0012,100
ASS-0137,CORS-0018,100
ASS-0138,CORS-0068,100
ASS-0139,CORS-0155,100
ASS-0140,CORS-0173,100
ASS-0141,CORS-0023,100
ASS-0142,CORS-0108,100
ASS-0143,CORS-0146,100
ASS-0144,CORS-0052,100
ASS-0145,CORS-0069,100
ASS-0146,CORS-0127,100
ASS-0147,CORS-0161,100
ASS-0148,CORS-0009,100
ASS-0149,CORS-0117,100
ASS-0150,CORS-0011,100
ASS-0151,CORS-0027,100
ASS-0152,CORS-0041,100
ASS-0153,CORS-0077,100
ASS-0154,CORS-0064,100
ASS-0155,CORS-0089,100
ASS-0156,CORS-0118,100
ASS-0157,CORS-0062,100
ASS-0158,CORS-0065,100
ASS-0159,CORS-0146,100
ASS-0160,CORS-0059,100
ASS-0161,CORS-0196,100
ASS-0162,CORS-0005,100
ASS-0163,CORS-0169,100
ASS-0164,CORS-0160,100
ASS-0165,CORS-0136,100
ASS-0166,CORS-0034,100
ASS-0167,CORS-0098,100
ASS-0168,CORS-0156,100
ASS-0169,CORS-0048,100
ASS-0170,CORS-0101,100
ASS-0171,CORS-0085,100
ASS-0172,CORS-0116,100
ASS-0173,CORS-0105,100
ASS-0174,CORS-0101,100
ASS-0175,CORS-0094,100
ASS-0176,CORS-0160,100
ASS-0177,CORS-0145,100
ASS-0178,CORS-0046,100
ASS-0179,CORS-0089,100
ASS-0180,CORS-0126,100
ASS-0181,CORS-0046,100
ASS-0182,CORS-0020,100
ASS-0183,CORS-0153,100
ASS-0184,CORS-0127,100
ASS-0185,CORS-0125,100
ASS-0186,CORS-0026,100
ASS-0187,CORS-0048,100
ASS-0188,CORS-0161,100
ASS-0189,CORS-0056,100
ASS-0190,CORS-0082,100
ASS-0191,CORS-0079,100
ASS-0192,CORS-0114,100
ASS-0193,CORS-0095,100
ASS-0194,CORS-0100,100
ASS-0195,CORS-0019,100
ASS-0196,CORS-0013,100
ASS-0197,CORS-0058,100
ASS-0198,CORS-0135,100
ASS-0199,CORS-0137,100
ASS-0200,CORS-0180,100
