enrollment_id,user_id,course_id,enrollment_date
ERL-0075,USR-0166,CORS-0076,26-05-21 12:22:39
ERL-0076,USR-0042,CORS-0090,24-07-09 04:13:32
ERL-0077,USR-0077,CORS-0020,25-01-27 22:28:29
ERL-0078,USR-0068,CORS-0010,25-12-02 08:18:32
ERL-0079,USR-0086,CORS-0102,24-11-30 12:12:36
ERL-0080,USR-0163,CORS-0121,26-02-28 00:42:34
ERL-0081,USR-0153,CORS-0130,24-10-01 07:47:11
ERL-0082,USR-0001,CORS-0126,25-08-02 08:33:01
ERL-0083,USR-0017,CORS-0045,24-12-25 10:25:54
ERL-0084,USR-0060,CORS-0057,25-09-06 07:48:31
ERL-0085,USR-0073,CORS-0022,26-05-08 23:56:48
ERL-0086,USR-0037,CORS-0144,25-06-06 20:40:26
ERL-0087,USR-0178,CORS-0116,24-11-12 23:06:50
ERL-0088,USR-0028,CORS-0152,26-02-25 22:42:40
ERL-0089,USR-0002,CORS-0002,24-08-09 03:06:25
ERL-0090,USR-0176,CORS-0073,24-07-01 10:59:26
ERL-0091,USR-0174,CORS-0151,25-12-05 16:22:31
ERL-0092,USR-0075,CORS-0056,25-10-01 00:41:51
ERL-0093,USR-0091,CORS-0005,26-05-20 06:02:01
ERL-0094,USR-0159,CORS-0027,25-07-11 15:29:16
ERL-0095,USR-0050,CORS-0164,25-02-07 16:44:49
ERL-0096,USR-0132,CORS-0171,25-09-10 10:16:08
ERL-0097,USR-0026,CORS-0105,26-04-29 08:16:57
ERL-0098,USR-0043,CORS-0145,26-01-02 00:03:41
ERL-0099,USR-0112,CORS-0175,25-01-12 22:24:21
ERL-0100,USR-0061,CORS-0105,25-07-23 04:48:18
ERL-0101,USR-0022,CORS-0177,26-05-30 17:46:51
ERL-0102,USR-0075,CORS-0129,26-05-25 18:55:16
ERL-0103,USR-0180,CORS-0081,25-09-03 00:12:48
ERL-0104,USR-0047,CORS-0096,25-05-06 21:28:55
ERL-0105,USR-0152,CORS-0030,25-12-12 02:43:38
ERL-0106,USR-0100,CORS-0142,24-10-16 08:04:57
ERL-0107,USR-0006,CORS-0088,25-10-08 00:15:09
ERL-0108,USR-0054,CORS-0021,24-07-02 11:08:54
ERL-0109,USR-0115,CORS-0196,24-06-27 02:32:02
ERL-0110,USR-0181,CORS-0181,25-08-27 11:20:46
ERL-0111,USR-0158,CORS-0149,24-08-20 08:51:40
ERL-0112,USR-0182,CORS-0187,24-12-11 06:02:51
ERL-0113,USR-0042,CORS-0090,24-10-03 15:15:42
ERL-0114,USR-0059,CORS-0017,24-12-09 17:14:34
ERL-0115,USR-0038,CORS-0043,26-04-04 19:11:53
ERL-0116,USR-0095,CORS-0131,25-02-27 16:07:31
ERL-0117,USR-0172,CORS-0142,25-12-11 00:16:05
ERL-0118,USR-0140,CORS-0113,25-12-31 15:25:03
ERL-0119,USR-0157,CORS-0092,26-03-25 01:49:36
ERL-0120,USR-0013,CORS-0015,25-09-05 17:02:23
ERL-0121,USR-0121,CORS-0038,26-05-13 20:21:29
ERL-0122,USR-0133,CORS-0130,24-08-13 22:47:48
ERL-0123,USR-0114,CORS-0060,24-12-15 09:42:38
ERL-0124,USR-0156,CORS-0165,25-04-24 01:06:31
ERL-0125,USR-0067,CORS-0045,25-04-25 18:52:34
ERL-0126,USR-0198,CORS-0163,24-10-15 14:58:00
ERL-0127,USR-0016,CORS-0185,24-09-25 12:04:11
ERL-0128,USR-0130,CORS-0022,25-09-16 22:13:49
ERL-0129,USR-0015,CORS-0101,25-06-16 20:20:14
ERL-0130,USR-0171,CORS-0080,26-05-27 09:32:34
ERL-0131,USR-0099,CORS-0074,26-01-24 17:54:20
ERL-0132,USR-0153,CORS-0199,24-11-17 21:51:35
ERL-0133,USR-0184,CORS-0146,24-12-25 21:06:30
ERL-0134,USR-0113,CORS-0029,24-07-03 06:24:02
ERL-0135,USR-0160,CORS-0035,24-06-17 17:10:10
ERL-0136,USR-0117,CORS-0079,26-05-05 23:54:18
ERL-0137,USR-0001,CORS-0030,26-03-11 20:12:23
ERL-0138,USR-0118,CORS-0176,24-11-09 12:43:47
ERL-0139,USR-0154,CORS-0056,25-08-19 23:03:17
ERL-0140,USR-0170,CORS-0091,25-03-24 12:55:10
ERL-0141,USR-0030,CORS-0189,25-02-12 06:46:47
ERL-0142,USR-0171,CORS-0123,25-08-01 13:46:23
ERL-0143,USR-0158,CORS-0084,25-07-01 16:31:47
ERL-0144,USR-0180,CORS-0198,24-06-26 23:11:37
ERL-0145,USR-0083,CORS-0039,24-08-21 08:36:24
ERL-0146,USR-0170,CORS-0145,25-04-13 13:32:35
ERL-0147,USR-0102,CORS-0093,25-05-30 15:48:32
ERL-0148,USR-0088,CORS-0074,24-11-20 08:07:37
ERL-0149,USR-0177,CORS-0081,25-08-14 08:28:59
ERL-0150,USR-0037,CORS-0061,26-01-06 11:39:34
ERL-0151,USR-0180,CORS-0121,26-03-20 00:56:45
ERL-0152,USR-0046,CORS-0135,24-07-25 11:28:29
ERL-0153,USR-0020,CORS-0070,25-09-28 13:52:47
ERL-0154,USR-0111,CORS-0012,24-12-30 13:30:40
ERL-0155,USR-0160,CORS-0142,25-03-21 20:12:08
ERL-0156,USR-0186,CORS-0042,25-04-04 03:41:15
ERL-0157,USR-0150,CORS-0115,24-07-15 00:11:21
ERL-0158,USR-0024,CORS-0138,24-09-20 12:53:14
ERL-0159,USR-0088,CORS-0154,25-04-03 08:10:02
ERL-0160,USR-0013,CORS-0028,25-02-05 00:17:15
ERL-0161,USR-0102,CORS-0184,25-03-02 15:00:18
ERL-0162,USR-0086,CORS-0120,25-11-07 22:29:54
ERL-0163,USR-0156,CORS-0008,25-07-28 07:58:06
ERL-0164,USR-0094,CORS-0036,24-07-06 15:47:06
ERL-0165,USR-0075,CORS-0065,26-03-06 06:35:24
ERL-0166,USR-0173,CORS-0119,25-09-29 04:55:20
ERL-0167,USR-0168,CORS-0157,25-01-03 12:27:33
ERL-0168,USR-0132,CORS-0087,25-03-24 17:47:28
ERL-0169,USR-0004,CORS-0144,25-09-22 12:59:10
ERL-0170,USR-0152,CORS-0049,25-08-23 12:49:23
ERL-0171,USR-0023,CORS-0089,25-09-23 17:14:12
ERL-0172,USR-0139,CORS-0060,24-08-04 23:29:08
ERL-0173,USR-0082,CORS-0152,25-09-04 02:32:50
ERL-0174,USR-0089,CORS-0136,25-06-08 23:52:25
ERL-0175,USR-0034,CORS-0161,25-03-28 13:39:43
ERL-0176,USR-0103,CORS-0028,25-02-28 00:09:40
ERL-0177,USR-0129,CORS-0061,25-12-13 11:45:35
ERL-0178,USR-0029,CORS-0125,26-02-10 08:17:50
ERL-0179,USR-0057,CORS-0046,26-02-12 18:03:26
ERL-0180,USR-0084,CORS-0198,26-01-29 03:15:47
ERL-0181,USR-0002,CORS-0059,26-05-09 20:30:25
ERL-0182,USR-0197,CORS-0041,26-04-23 11:07:21
ERL-0183,USR-0008,CORS-0050,26-01-28 02:57:43
ERL-0184,USR-0045,CORS-0081,25-08-17 17:18:10
ERL-0185,USR-0159,CORS-0130,24-06-09 00:48:24
ERL-0186,USR-0145,CORS-0159,26-04-11 21:52:13
ERL-0187,USR-0149,CORS-0078,24-12-14 03:13:59
ERL-0188,USR-0039,CORS-0166,25-11-20 01:35:11
ERL-0189,USR-0094,CORS-0199,24-07-26 22:45:07
ERL-0190,USR-0066,CORS-0162,25-04-11 18:08:48
ERL-0191,USR-0191,CORS-0157,24-07-25 20:13:54
ERL-0192,USR-0138,CORS-0186,26-03-04 04:32:53
ERL-0193,USR-0049,CORS-0133,25-12-27 08:18:18
ERL-0194,USR-0189,CORS-0105,25-07-07 15:17:29
ERL-0195,USR-0085,CORS-0070,24-07-16 16:21:15
ERL-0196,USR-0129,CORS-0014,25-06-26 15:29:26
ERL-0197,USR-0166,CORS-0014,25-01-13 23:03:12
ERL-0198,USR-0150,CORS-0080,24-10-02 07:14:07
ERL-0199,USR-0095,CORS-0115,25-08-19 01:04:12
ERL-0200,USR-0123,CORS-0083,24-10-20 23:09:07
